epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,232.846,0.71379,0.25058,0.22929,0.50561,1.15629,0.96747,0.94444,0.94414,0.73301,0.99601,0.97222,0.98885,0.93646,0.84885,0.26947,0.06194,0.47685,1.46121,0.001109,0.001109,0.001109
47,237.706,0.74161,0.27311,0.22803,0.48391,1.16618,0.99806,0.97222,0.975,0.77371,0.99806,0.97222,0.975,0.96138,0.76269,0.13679,0.07305,0.4377,1.37394,0.0010892,0.0010892,0.0010892
48,242.526,0.72114,0.27442,0.21387,0.50412,1.17969,0.99752,0.97222,0.975,0.80228,0.99752,0.97222,0.975,0.96425,0.77999,0.12057,0.038,0.43519,1.38785,0.0010694,0.0010694,0.0010694
49,247.299,0.69207,0.23997,0.21552,0.47558,1.13452,0.99586,0.94444,0.97417,0.77335,1,0.96801,0.975,0.96414,0.73191,0.12198,0.11537,0.4027,1.33717,0.0010496,0.0010496,0.0010496
50,252.082,0.71303,0.2459,0.2055,0.48215,1.16424,0.97216,0.97014,0.97417,0.82013,0.99992,0.97222,0.975,0.95769,0.675,0.12906,0.04796,0.39196,1.2686,0.0010298,0.0010298,0.0010298
51,256.889,0.69688,0.23861,0.21186,0.47595,1.14964,0.99165,0.94444,0.97125,0.76089,0.99859,0.97222,0.975,0.95316,0.8077,0.16092,0.0993,0.44623,1.43837,0.00101,0.00101,0.00101
52,261.79,0.71236,0.26622,0.1927,0.49088,1.1597,0.97035,0.97222,0.97417,0.78451,1,0.97075,0.975,0.9682,0.789,0.11936,0.04877,0.38119,1.39648,0.0009902,0.0009902,0.0009902
53,266.593,0.70858,0.23084,0.19713,0.4931,1.15536,0.97216,0.96989,0.97417,0.78136,0.99847,0.97222,0.975,0.9646,0.8203,0.12884,0.04713,0.41398,1.46343,0.0009704,0.0009704,0.0009704
54,271.481,0.65866,0.21084,0.18916,0.46508,1.13753,0.99593,0.94444,0.97338,0.81861,0.99896,0.97222,0.975,0.96105,0.74007,0.14598,0.04509,0.40887,1.35315,0.0009506,0.0009506,0.0009506
55,276.308,0.66821,0.22936,0.21051,0.47189,1.12686,0.97214,0.96948,0.97417,0.80131,0.99794,0.97222,0.975,0.96386,0.7486,0.12264,0.03844,0.41169,1.3647,0.0009308,0.0009308,0.0009308
56,281.486,0.65876,0.26038,0.19858,0.45436,1.11147,1,0.97041,0.975,0.77204,1,0.97041,0.975,0.96419,0.82,0.12278,0.05337,0.43091,1.48105,0.000911,0.000911,0.000911
57,286.641,0.65608,0.24065,0.21115,0.46467,1.12866,0.99839,0.97222,0.975,0.78244,0.99839,0.97222,0.975,0.96566,0.66378,0.11265,0.06116,0.36628,1.26829,0.0008912,0.0008912,0.0008912
58,291.7,0.66783,0.2212,0.20178,0.47695,1.14526,1,0.96178,0.975,0.78688,1,0.96178,0.975,0.96226,0.67854,0.11069,0.06805,0.35555,1.2784,0.0008714,0.0008714,0.0008714
